Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,AUS,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,1.88023E+11,1.91787E+11,1.95091E+11,2.0726E+11,2.25094E+11,2.37435E+11,2.42926E+11,2.58128E+11,2.68898E+11,2.88788E+11,3.10282E+11,3.20189E+11,3.30525E+11,3.47415E+11,3.66004E+11,3.66565E+11,3.71783E+11,3.83396E+11,3.81776E+11,3.97295E+11,4.10716E+11,4.24838E+11,4.38127E+11,4.28773E+11,4.46726E+11,4.6681E+11,4.78313E+11,4.85826E+11,5.20258E+11,5.49272E+11,5.6569E+11,5.58154E+11,5.6136E+11,5.82812E+11,6.03156E+11,6.26432E+11,6.53946E+11,6.8485E+11,7.17562E+11,7.46855E+11,7.84055E+11,8.03382E+11,8.38716E+11,8.66306E+11,9.14984E+11,9.50718E+11,9.94078E+11,1.04002E+12,1.09375E+12,1.13748E+12,1.14839E+12,1.22114E+12,1.2832E+12,1.29624E+12,1.31788E+12,1.3237E+12,1.32739E+12,1.39087E+12,1.43061E+12,1.4774E+12,1.49568E+12,1.57837E+12,1.64125E+12,1.68811E+12
Austria,AUT,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76024E+11,2.82173E+11,2.86792E+11,2.96516E+11,3.03073E+11,3.1437E+11,3.16512E+11,3.24964E+11,3.28626E+11,3.37873E+11,3.44055E+11,3.57049E+11,3.68386E+11,3.75052E+11,3.60298E+11,3.66603E+11,3.71941E+11,3.71975E+11,3.72325E+11,3.7592E+11,3.7821E+11,3.91159E+11,3.93904E+11,4.02559E+11,4.09538E+11,3.89133E+11,4.05938E+11,4.09622E+11,
Azerbaiyán,AZE,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51379123217,,,,,,,,
Burundi,BDI,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1878502855,1975129710,1945984617,1985381529,1969458070,2052024813,2015061470,2097536505,2143069472,2279609344,2364496777,2483608318,2560456918,2702875913,2805236545,2944808872,3100803885,3220874647,3104359892,3083644443,3102664173,3158275823,3218504047,3239452589,3329556023,3396528786,3479917435
Bélgica,BEL,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.40519E+11,3.4366E+11,3.56426E+11,3.64239E+11,3.74455E+11,3.8506E+11,3.86693E+11,3.93863E+11,3.97175E+11,4.06979E+11,4.14039E+11,4.23178E+11,4.39105E+11,4.36429E+11,4.33856E+11,4.39411E+11,4.35847E+11,4.48585E+11,4.52558E+11,4.59212E+11,4.68879E+11,4.75791E+11,4.81368E+11,4.86714E+11,5.01029E+11,4.7708E+11,5.0499E+11,5.04949E+11,
Benin,BEN,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,2498802297,2531727763,2699186467,2872670364,3157633990,3220881231,3057792755,3246443282,3520524324,3601998911,3552584123,3683775756,3543203611,3881792615,4062546723,4098577363,4419011048,4491193383,4769090352,4977433945,5296175397,5548049184,5856562010,6198461885,6526105745,6810454069,7041935702,7361499624,7512478033,7796653916,8250483448,8694565255,8876666277,9044595944,9350669836,9756514060,10462531245,11138356431,11322499746,11730459483,12404798512,13217693100,14109367299,14611105605,15609333928,16592818578,17646517541
Burkina Faso,BFA,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,1336283663,1350966794,1470343517,1516057732,1547027124,1555087098,1575150923,1609388400,1620118180,1749114002,1781655546,1940495344,1928748232,2042614882,2123274279,2147417631,2230253764,2442767767,2449968918,2414133316,2619644165,2830930837,2821039873,2980384238,3046220771,3034719623,3308142341,3313644922,3420315312,3461193869,3670520805,4102098252,4346338110,4663416712,5018565010,5101817068,5426385026,5632125358,6059827346,6350126981,6887087795,7370226631,7672541829,8110468747,8283002664,8824216304,9297989759,10049690948,10620570121,10894961208,11293125665,11967829047,12803556080,13733574534,14328995002,14754884889,15587339523,,
Bangladesh,BGD,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07815E+11,,,,,,,,
Bulgaria,BGR,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33053634971,34521347460,29751457201,31182781117,28681104793,29717677826,31538648205,33926910622,35572400622,37748041932,40105285039,41807246297,42614239585,46321395340,45387107881,46569990254,47055459535,48237150674,47583165447,48530403070,49160388019,50576559636,52411936989,53111633500,55374166388,53281097857,57215094017,58638834630,60090208950
Bahrein,BHR,INB (US$ constantes del año 2015),NY.GNP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15813194882,16062212885,16408297307,17544986604,18787185135,20306805979,21685505533,23615951494,24479091014,23535917699,24787162646,23948360562,27846740809,29160297782,30078996392,30787393617,32000808785,33523982450,34224185018,34816615506,32452534331,34095480501,36678778837,37094153031
