Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Samoa Americana,ASM,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12705.47825,12848.64229,12936.0414,12928.97893,12452.54905,12742.14531,12466.86251,12011.95793,12113.42073,12186.90227,11745.48992,11554.27175,11876.70669,12387.00405,12326.53842,11611.67759,12080.61601,12189.04977,12841.38181,12879.63433,13342.43515,
Antigua y Barbuda,ATG,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,16578.71661,17257.87813,18583.87528,20026.04126,20741.20467,20685.34383,21744.84862,23974.44592,25923.27104,29044.58896,31128.92128,32918.12709,34810.10659,36005.61317,36603.08896,36442.45699,37674.69163,39434.64536,36971.06571,38607.28035,39893.74129,40997.07231,41793.36465,43647.74669,41028.93426,40932.20999,42944.63561,44939.3412,47312.55731,52668.1058,56799.17752,55963.79294,48530.76402,44124.47257,42753.09271,43725.07449,43065.61137,43670.36557,43982.37314,45500.5613,46364.23929,49338.25308,50624.09702,40850.55419,43956.18794,47884.64024,49480.26062
Australia,AUS,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,31129.44251,31273.6812,30914.63415,32212.60274,33791.43906,35117.22866,35141.10377,36888.12611,38089.18311,39928.15787,41958.42328,42186.59658,43037.86901,43495.21674,44149.82147,44192.11114,44883.7027,45976.39515,45850.88452,47195.25975,48038.79662,48873.97258,49631.23953,47867.69353,49469.13522,51391.18102,52662.22801,53194.82923,55344.72075,56523.4023,57685.35695,56737.03758,56345.64713,58106.61505,59840.38162,61477.2149,63082.2331,64845.33468,67196.09596,69806.64316,71718.59794,72237.48892,74262.65221,75682.41491,78040.57068,79528.09666,80624.01551,82153.1618,83411.04999,83256.08012,83790.62035,84623.4543,86415.9951,87151.71037,88089.77936,88732.80331,89768.15131,90314.85422,91534.88699,92150.97826,90912.48991,92701.10209,95411.77561,96309.61432
Austria,AUT,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,10720.6903,11252.51343,11479.97957,11878.50318,12522.23918,12874.1157,13505.524,13808.18411,14351.01722,15199.09,16224.94263,16978.90642,17928.43165,18701.30956,19405.48356,19386.26632,20309.7058,21333.24349,21305.54639,22485.11695,22874.41918,22783.23717,23224.80387,23953.97631,23967.76749,24555.11333,25104.2644,25428.87387,26229.819,27126.90551,28090.8731,28768.98283,29049.79473,28963.00726,29544.80503,30286.64926,30915.9601,31543.60112,32609.57974,33770.55848,34763.98172,35087.24788,35433.31757,35663.65833,36352.28671,36943.25101,37962.74575,39268.4309,39714.60324,38190.16092,38787.65883,39788.80834,39856.64374,39523.08073,39511.78491,39580.63795,39983.91607,40609.3873,41415.99641,41955.85535,39142.13046,40840.80445,42587.12989,41765.13632
Azerbaiyán,AZE,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1599.375445,1567.189884,1194.806727,904.9840823,716.9685844,625.1003208,626.8519387,656.8423054,715.7012006,761.9468354,839.5970604,915.5958921,994.5692521,1087.824644,1178.130825,1492.22162,1985.109699,2453.410684,2660.906669,2848.516621,2956.945151,2921.58473,2945.444849,3076.517737,3121.925199,3118.705827,2988.43213,2965.169692,2983.686767,3032.495421,2882.304968,3030.78691,3172.428917,3204.23105
Burundi,BDI,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,160271.0416,134784.7962,143319.2009,146135.4191,150941.3311,152647.4526,155888.1934,172987.0146,168405.4705,162383.0471,192780.0321,193319.2572,180947.2134,193687.8318,187524.4682,184206.576,194432.5212,211240.2024,203294.8967,201605.9085,195235.5497,210239.2335,202897.2583,204871.6161,200278.1334,219093.0308,222007.9182,228941.8683,235192.1526,233731.8459,236917.7138,243662.0152,239630.0535,231863.0476,221538.3416,192140.2364,176647.0075,173851.6085,178663.8729,172671.8076,167672.2199,166884.798,169458.2401,162179.3507,163797.4484,159245.6024,161928.4711,161436.2033,162442.9766,160305.9587,160813.622,161418.9577,162686.4551,164675.0259,165929.2027,155881.3536,152300.9476,149506.6948,147395.9479,145219.8902,141518.2631,141984.1494,140748.9855,140659.7076
Bélgica,BEL,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,10559.43286,11048.36176,11578.02403,11991.86354,12705.27622,13038.71916,13359.66234,13799.40574,14321.71937,15228.0384,16179.46271,16793.7142,17613.93393,18679.13459,19470.52802,19032.66899,20072.64061,20173.40101,20727.36056,21193.5454,22111.01574,22049.8448,22187.0674,22258.02434,22807.33492,23177.16012,23591.21321,24114.81491,25173.64708,25952.51938,26687.04531,27075.44106,27378.56836,27009.5054,27795.29802,28398.60889,28717.71001,29735.12188,30253.80584,31253.90022,32336.99734,32580.32279,32988.2265,33191.38536,34228.26147,34830.83512,35485.01881,36520.60711,36395.16748,35415.21501,36044.25416,36265.42779,36118.99704,36058.97697,36533.07125,36857.43977,37108.97511,37511.35202,38042.24623,38761.51834,36744.97357,38863.80654,40183.01828,40315.92826
Benin,BEN,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,387783.4429,393410.7394,373303.3131,383850.1798,401643.4785,414635.7683,420858.8777,416708.8148,423686.0435,426578.4526,426030.1639,410321.0461,426781.7224,432360.8713,436283.683,404957.7195,398500.8452,407852.5844,402408.8914,417457.2004,433648.2452,463465.7449,460340.3464,427731.9207,448351.9925,468078.3615,464185.7677,443647.5288,445007.4306,419280.7783,443089.3221,447785.5995,447003.8657,452560.68,444755.2633,461774.6398,469300.921,481779.2377,485656.7446,496012.8908,509159.3727,520180.2515,528033.102,529812.4495,536598.1811,528493.223,532457.3962,547899.5963,557632.872,553708.5689,548790.2813,548476.7957,558055.8197,580805.9029,599744.6601,592641.7615,594782.1829,610665.3486,633486.0076,658712.138,666091.0488,695488.0071,720391.5162,747070.2668
Burkina Faso,BFA,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,144354.5391,148035.9157,154827.0616,150600.0552,151686.5419,154898.2435,153200.8559,163950.8014,166107.0249,166566.5876,163874.4859,163346.1618,164266.0988,162082.1688,172221.8273,173846.2465,184686.251,181099.8615,184781.0751,186655.565,183160.5078,185809.9041,198032.5453,193166.7598,184332.9105,194340.2506,203964.4367,197990.2925,203911.5539,202838.7152,196372.9027,208819.9451,204205.5946,206085.2897,203596.2725,209786.2616,227009.674,235207.0443,245514.559,256056.5814,253221.7621,261856.0107,264939.0221,276842.5916,280285.4328,295128.6215,303949.6976,306993.1847,315394.4731,315393.7547,332170.6497,343850.8866,355159.3977,364624.6896,369257.1608,372537.1238,383353.7731,395683.9839,410592.2753,423911.5547,422031.8461,440732.1,437120.0672,439959.5029
Bangladesh,BGD,PIB per cápita (UMN a precios constantes),NY.GDP.PCAP.KN,42642.78073,43969.15019,45039.69956,43546.36642,46925.70955,46307.12304,46134.64257,43956.90672,46732.08698,45977.00638,47319.90126,43951.91663,37089.91607,37241.74897,39674.64028,37067.7886,38184.92343,38242.12176,39960.15987,40882.10381,40242.31157,42060.67839,41796.01048,42270.16375,43177.42099,43534.94289,44299.39443,44952.79263,45069.92458,45409.07155,47016.91842,47734.77098,49392.99969,50765.66996,51771.62507,53421.01408,54825.74348,56235.32638,58040.45361,59607.94778,61626.69825,63685.2018,65113.57209,67214.3474,69779.48675,73408.93675,77402.6977,81979.67615,86046.33677,89549.08025,93713.52707,98869.17984,104312.403,109552.4514,115138.5907,121591.5277,129083.7735,136424.9007,145213.3586,155338.5692,159356.3673,169030.405,179186.554,187233.292
